id	multiplicon	number_of_anchorpoints	orientation	was_twisted	random_probability
1	1	187	+	0	0
2	1	3	-	-1	4.99842e-07
3	2	12	+	0	5.02224e-23
4	2	16	-	-1	1.02227e-39
5	2	82	+	0	6.6352e-147
6	2	37	+	0	4.4133e-76
7	2	3	+	0	5.44487e-06
8	3	102	-	0	1.72559e-179
9	3	7	+	-1	4.26875e-12
10	3	11	-	0	2.46942e-28
11	4	74	+	0	9.7211e-138
12	4	35	+	0	1.92561e-72
13	4	4	-	-1	2.0035e-09
14	5	42	+	0	4.79568e-56
15	5	3	-	-1	7.99368e-07
16	5	3	-	-1	9.65423e-06
17	5	56	+	0	3.8404e-75
18	6	85	+	0	5.8769e-172
19	7	77	-	0	5.84219e-168
20	8	75	+	0	5.06678e-127
21	9	38	+	0	6.46409e-72
22	9	6	+	0	1.6691e-06
23	9	3	-	-1	1.00787e-07
24	9	5	-	-1	5.07171e-13
25	9	20	-	-1	7.27355e-32
26	10	66	-	0	5.24651e-133
27	11	64	+	0	7.40413e-110
28	12	63	-	0	3.27185e-126
29	13	57	+	0	2.34154e-107
30	14	54	-	0	1.43545e-106
31	15	52	-	0	7.38075e-103
32	16	52	-	0	5.6987e-79
33	17	51	-	0	4.07476e-87
34	18	51	-	0	2.11028e-79
35	19	51	+	0	2.91064e-76
36	20	49	-	0	1.10616e-107
37	21	49	+	0	6.97491e-87
38	22	47	+	0	2.99045e-96
39	23	47	+	0	3.67738e-90
40	24	28	+	0	3.27226e-33
41	24	8	+	0	6.5093e-18
42	24	3	-	-1	4.40023e-07
43	24	8	-	-1	2.25754e-21
44	25	46	+	0	7.59483e-61
45	26	44	-	0	5.22553e-95
46	27	44	-	0	7.7863e-48
47	28	28	+	0	7.11282e-52
48	28	4	+	0	4.59842e-05
49	28	8	-	-1	1.36889e-12
50	28	3	+	0	8.77253e-07
51	29	42	-	0	2.99677e-70
52	30	18	+	-1	3.11802e-39
53	30	6	-	-1	6.85411e-09
