id	genome_x	list_x	genome_y	list_y	number_of_anchorpoints	cloud_density	dim_x	dim_y
1	ath	1	ath	1	47	0.479592	113	98
2	ath	1	ath	1	38	0.475	113	80
3	ath	1	ath	1	13	0.464286	28	34
4	ath	1	ath	1	24	0.358209	73	67
5	ath	1	ath	1	39	0.506494	97	77
6	ath	1	ath	1	15	0.348837	43	56
7	ath	1	ath	1	13	0.317073	41	54
8	ath	1	ath	1	16	0.280702	76	57
9	ath	1	ath	1	5	0.714286	10	7
10	ath	1	ath	1	77	0.566176	173	136
11	ath	1	ath	1	6	0.428571	16	14
12	ath	1	ath	1	3	1	3	3
13	ath	1	ath	1	4	0.571429	8	7
14	ath	1	ath	1	4	1.33333	21	3
15	ath	1	ath	1	3	1	3	4
16	ath	1	ath	1	6	0.428571	34	14
17	ath	1	ath	1	3	0.75	4	4
18	ath	1	ath	1	6	0.3	20	26
19	ath	1	ath	1	4	0.4	10	10
20	ath	1	ath	1	4	0.571429	15	7
21	ath	1	ath	1	8	0.210526	38	40
22	ath	1	ath	1	3	1	3	8
23	ath	1	ath	1	4	0.666667	19	6
24	ath	1	ath	1	4	0.5	16	8
25	ath	1	ath	1	3	0.6	6	5
26	ath	1	ath	1	5	0.277778	18	20
27	ath	1	ath	1	3	0.75	8	4
28	ath	1	ath	1	4	0.333333	12	12
29	ath	1	ath	1	3	1	3	11
30	ath	1	ath	1	3	0.6	5	7
31	ath	1	ath	1	3	0.6	5	7
32	ath	1	ath	1	3	1	3	12
33	ath	1	ath	1	3	1	13	3
34	ath	1	ath	1	4	0.5	8	21
35	ath	1	ath	1	4	0.363636	16	11
36	ath	1	ath	1	3	0.6	9	5
37	ath	1	ath	1	3	0.6	9	5
38	ath	1	ath	1	5	0.277778	18	25
39	ath	1	ath	1	5	0.357143	14	33
40	ath	1	ath	1	3	0.5	6	8
41	ath	1	ath	1	3	0.6	5	10
42	ath	1	ath	1	4	0.444444	23	9
43	ath	1	ath	1	6	0.24	25	38
44	ath	1	ath	1	3	0.75	14	4
45	ath	1	ath	1	3	0.6	5	12
46	ath	1	ath	1	4	0.307692	13	18
47	ath	1	ath	1	5	0.227273	22	25
48	ath	1	ath	1	3	0.428571	7	9
49	ath	1	ath	1	3	0.75	16	4
50	ath	1	ath	1	3	0.6	5	13
51	ath	1	ath	1	3	0.5	6	11
52	ath	1	ath	1	3	0.5	6	11
53	ath	1	ath	1	4	0.307692	13	20
54	ath	1	ath	1	3	0.375	8	9
55	ath	1	ath	1	3	0.5	6	12
56	ath	1	ath	1	3	0.5	6	12
57	ath	1	ath	1	4	0.25	16	17
58	ath	1	ath	1	3	0.428571	11	7
59	ath	1	ath	1	3	0.428571	11	7
60	ath	1	ath	1	3	0.5	6	13
61	ath	1	ath	1	3	0.375	8	10
62	ath	1	ath	1	3	0.428571	12	7
63	ath	1	ath	1	4	0.25	16	19
64	ath	1	ath	1	3	0.375	11	8
65	ath	1	ath	1	6	0.171429	35	35
66	ath	1	ath	1	3	0.333333	10	9
67	ath	1	ath	1	5	0.208333	24	29
68	ath	1	ath	1	3	0.428571	7	13
69	ath	1	ath	1	4	0.266667	21	15
70	ath	1	ath	1	3	0.375	12	8
71	ath	1	ath	1	3	0.5	6	16
72	ath	1	ath	1	3	0.428571	7	14
73	ath	1	ath	1	3	0.333333	11	9
74	ath	1	ath	1	3	0.6	20	5
75	ath	1	ath	1	3	0.375	8	13
76	ath	1	ath	1	3	0.428571	15	7
77	ath	1	ath	1	3	0.333333	12	9
78	ath	1	ath	1	3	0.5	18	6
79	ath	1	ath	1	3	0.3	11	10
80	ath	1	ath	1	3	0.375	14	8
81	ath	1	ath	1	4	0.235294	22	17
82	ath	1	ath	1	3	0.333333	13	9
83	ath	1	ath	1	3	0.375	8	15
84	ath	1	ath	1	5	0.192308	32	26
85	ath	1	ath	1	3	0.272727	11	11
86	ath	1	ath	1	3	0.333333	14	9
87	ath	1	ath	1	3	0.5	21	6
88	ath	1	ath	1	3	0.375	16	8
89	ath	1	ath	1	3	0.3	13	10
90	ath	1	ath	1	3	0.428571	7	19
91	ath	1	ath	1	3	0.333333	9	15
92	ath	1	ath	1	3	0.375	8	17
93	ath	1	ath	1	3	0.272727	11	13
94	ath	1	ath	1	3	0.272727	11	13
95	ath	1	ath	1	3	0.333333	9	16
96	ath	1	ath	1	4	0.222222	18	25
97	ath	1	ath	1	4	0.190476	22	21
98	ath	1	ath	1	3	0.333333	9	17
99	ath	1	ath	1	3	0.272727	14	11
100	ath	1	ath	1	3	0.333333	18	9
101	ath	1	ath	1	4	0.210526	26	19
102	ath	1	ath	1	4	0.2	25	20
103	ath	1	ath	1	3	0.25	14	12
104	ath	1	ath	1	3	0.230769	13	13
105	ath	1	ath	1	3	0.3	17	10
106	ath	1	ath	1	3	0.333333	9	19
107	ath	1	ath	1	3	0.272727	16	11
108	ath	1	ath	1	3	0.3	10	18
109	ath	1	ath	1	3	0.230769	14	13
110	ath	1	ath	1	3	0.25	16	12
111	ath	1	ath	1	3	0.272727	18	11
112	ath	1	ath	1	3	0.230769	16	13
