id	multiplicon	genome	list	first	last	order
1	1	ath	1	AT1G71280	AT1G78270	0
2	1	ath	1	AT1G16280	AT1G22340	1
3	2	ath	2	AT2G38620	AT2G44350	0
4	2	ath	3	AT3G54180	AT3G60100	1
5	3	ath	2	AT2G28170	AT2G33370	0
6	3	ath	1	AT1G04480	AT1G08135	1
7	4	ath	3	AT3G17140	AT3G22470	0
8	4	ath	1	AT1G47960	AT1G52620	1
9	5	ath	1	AT1G56240	AT1G63710	0
10	5	ath	1	AT1G09155	AT1G13140	1
11	6	ath	4	AT4G33930	AT4G36810	0
12	6	ath	2	AT2G15690	AT2G18620	1
13	7	ath	3	AT3G13900	AT3G16500	0
14	7	ath	1	AT1G51950	AT1G54280	1
15	8	ath	3	AT3G10200	AT3G12900	0
16	8	ath	5	AT5G04060	AT5G07690	1
17	9	ath	2	AT2G33500	AT2G35640	0
18	9	ath	1	AT1G28050	AT1G32690	1
19	10	ath	4	AT4G28130	AT4G30380	0
20	10	ath	2	AT2G18660	AT2G20900	1
21	11	ath	3	AT3G02930	AT3G05240	0
22	11	ath	5	AT5G16730	AT5G19090	1
23	12	ath	4	AT4G13190	AT4G15720	0
24	12	ath	3	AT3G21465	AT3G24540	1
25	13	ath	2	AT2G44280	AT2G46700	0
26	13	ath	3	AT3G60070	AT3G61960	1
27	14	ath	2	AT2G01150	AT2G04038	0
28	14	ath	1	AT1G13600	AT1G15100	1
29	15	ath	4	AT4G17215	AT4G18640	0
30	15	ath	5	AT5G45780	AT5G47635	1
31	16	ath	3	AT3G26820	AT3G29590	0
32	16	ath	5	AT5G39050	AT5G41120	1
33	17	ath	3	AT3G49730	AT3G51460	0
34	17	ath	5	AT5G66020	AT5G67630	1
35	18	ath	4	AT4G18596	AT4G21020	0
36	18	ath	5	AT5G44310	AT5G45880	1
37	19	ath	1	AT1G67490	AT1G70030	0
38	19	ath	1	AT1G24320	AT1G27220	1
39	20	ath	1	AT1G70030	AT1G71450	0
40	20	ath	1	AT1G22810	AT1G24190	1
41	21	ath	5	AT5G63580	AT5G65820	0
42	21	ath	5	AT5G08640	AT5G10690	1
43	22	ath	4	AT4G38700	AT4G40100	0
44	22	ath	2	AT2G21100	AT2G22475	1
45	23	ath	4	AT4G31310	AT4G33390	0
46	23	ath	2	AT2G24390	AT2G26570	1
47	24	ath	4	AT4G01820	AT4G03600	0
48	24	ath	1	AT1G02370	AT1G03730	1
49	25	ath	5	AT5G35900	AT5G39420	0
50	25	ath	1	AT1G65620	AT1G67580	1
51	26	ath	1	AT1G78320	AT1G79700	0
52	26	ath	1	AT1G16060	AT1G17170	1
53	27	ath	3	AT3G44250	AT3G47300	0
54	27	ath	5	AT5G58640	AT5G61430	1
55	28	ath	2	AT2G46590	AT2G48075	0
56	28	ath	3	AT3G61850	AT3G63050	1
57	29	ath	4	AT4G22540	AT4G24100	0
58	29	ath	4	AT4G10730	AT4G12460	1
59	30	ath	3	AT3G04810	AT3G06450	0
60	30	ath	5	AT5G25430	AT5G27930	1
61	31	ath	2	AT2G36300	AT2G37980	0
62	31	ath	3	AT3G52760	AT3G54100	1
63	32	ath	3	AT3G01015	AT3G02020	0
64	32	ath	5	AT5G14060	AT5G15510	1
65	33	ath	5	AT5G60820	AT5G62240	0
66	33	ath	5	AT5G07170	AT5G08141	1
67	34	ath	4	AT4G25780	AT4G26680	0
68	34	ath	5	AT5G55840	AT5G57625	1
69	35	ath	5	AT5G43320	AT5G44800	0
70	35	ath	1	AT1G03740	AT1G04440	1
71	36	ath	4	AT4G26650	AT4G27320	0
72	36	ath	5	AT5G54430	AT5G55550	1
73	37	ath	3	AT3G12580	AT3G13810	0
74	37	ath	1	AT1G55110	AT1G56410	1
75	38	ath	3	AT3G02010	AT3G02940	0
76	38	ath	5	AT5G15300	AT5G16600	1
77	39	ath	4	AT4G08770	AT4G10630	0
78	39	ath	1	AT1G32760	AT1G35670	1
79	40	ath	3	AT3G46130	AT3G48680	0
80	40	ath	5	AT5G61350	AT5G63510	1
81	41	ath	3	AT3G42670	AT3G45010	0
82	41	ath	5	AT5G20420	AT5G22960	1
83	42	ath	4	AT4G05095	AT4G09210	0
84	42	ath	1	AT1G35320	AT1G43910	1
85	43	ath	3	AT3G06490	AT3G08820	0
86	43	ath	5	AT5G47460	AT5G49620	1
87	44	ath	1	AT1G80000	AT1G80910	0
88	44	ath	1	AT1G15280	AT1G16020	1
89	45	ath	4	AT4G36810	AT4G37950	0
90	45	ath	2	AT2G22620	AT2G23800	1
91	46	ath	5	AT5G24860	AT5G26140	0
92	46	ath	5	AT5G10625	AT5G11950	1
