CloudID	gene_x	gene_y	coord_x	coord_y
1	AT1G78320	AT1G17170	5695	1475
1	AT1G78400	AT1G17150	5698	1473
1	AT1G78420	AT1G17145	5700	1472
1	AT1G78430	AT1G17140	5701	1471
1	AT1G78510	AT1G17050	5707	1462
1	AT1G78540	AT1G17040	5710	1461
1	AT1G78580	AT1G16980	5713	1458
1	AT1G78440	AT1G17010	5702	1459
1	AT1G78450	AT1G17100	5703	1467
1	AT1G78530	AT1G17230	5709	1479
1	AT1G78815	AT1G16910	5732	1452
1	AT1G78870	AT1G16890	5734	1450
1	AT1G78880	AT1G16860	5735	1447
1	AT1G78890	AT1G16840	5736	1445
1	AT1G78895	AT1G16830	5737	1444
1	AT1G78900	AT1G16820	5738	1443
1	AT1G79000	AT1G16710	5747	1432
1	AT1G79010	AT1G16700	5748	1430
1	AT1G79020	AT1G16690	5749	1429
1	AT1G79030	AT1G16680	5750	1428
1	AT1G78920	AT1G16780	5741	1439
1	AT1G78940	AT1G16760	5743	1437
1	AT1G79130	AT1G16510	5760	1415
1	AT1G79160	AT1G16500	5762	1414
1	AT1G79180	AT1G16490	5764	1413
1	AT1G79210	AT1G16470	5767	1411
1	AT1G79230	AT1G16460	5769	1410
1	AT1G79250	AT1G16440	5770	1408
1	AT1G79310	AT1G16420	5774	1406
1	AT1G79360	AT1G16370	5776	1403
1	AT1G79370	AT1G16400	5777	1405
1	AT1G79400	AT1G16380	5780	1404
1	AT1G79450	AT1G16360	5784	1402
1	AT1G79470	AT1G16350	5786	1401
1	AT1G79500	AT1G16340	5789	1400
1	AT1G79510	AT1G16320	5790	1398
1	AT1G79520	AT1G16310	5791	1397
1	AT1G79530	AT1G16300	5792	1396
1	AT1G79570	AT1G16270	5795	1393
1	AT1G79590	AT1G16225	5797	1391
1	AT1G79630	AT1G16220	5801	1390
1	AT1G79650	AT1G16190	5803	1388
1	AT1G79660	AT1G16170	5804	1386
1	AT1G79670	AT1G16090	5805	1385
1	AT1G79700	AT1G16060	5807	1382
1	AT1G79620	AT1G16760	5800	1437
1	AT1G78730	AT1G16930	5726	1454
2	AT1G77500	AT1G21740	5619	1878
2	AT1G77510	AT1G21750	5620	1879
2	AT1G77540	AT1G21770	5622	1881
2	AT1G77580	AT1G21810	5625	1884
2	AT1G77610	AT1G21870	5628	1888
2	AT1G77630	AT1G21880	5630	1889
2	AT1G77640	AT1G21910	5631	1892
2	AT1G77660	AT1G21920	5634	1893
2	AT1G77810	AT1G22015	5648	1902
2	AT1G77855	AT1G22030	5653	1904
2	AT1G77870	AT1G22050	5655	1906
2	AT1G77920	AT1G22070	5660	1908
2	AT1G77950	AT1G22130	5663	1914
2	AT1G77990	AT1G22150	5665	1916
2	AT1G78020	AT1G22160	5667	1917
2	AT1G78050	AT1G22170	5670	1918
2	AT1G78080	AT1G22190	5673	1920
2	AT1G78090	AT1G22210	5674	1922
2	AT1G78100	AT1G22220	5675	1923
2	AT1G78110	AT1G22230	5676	1924
2	AT1G78160	AT1G22240	5681	1925
2	AT1G78170	AT1G22250	5682	1926
2	AT1G78190	AT1G22270	5684	1928
2	AT1G78200	AT1G22280	5685	1929
2	AT1G78220	AT1G22290	5687	1930
2	AT1G78260	AT1G22330	5690	1932
2	AT1G78270	AT1G22340	5691	1934
2	AT1G77640	AT1G22190	5631	1920
2	AT1G78080	AT1G21910	5673	1892
2	AT1G77440	AT1G21720	5613	1876
2	AT1G77470	AT1G21690	5616	1872
2	AT1G77240	AT1G21530	5595	1858
2	AT1G77280	AT1G21590	5599	1863
2	AT1G77310	AT1G21610	5602	1865
2	AT1G77200	AT1G21910	5591	1892
2	AT1G77200	AT1G22190	5591	1920
2	AT1G77120	AT1G22430	5584	1937
2	AT1G77080	AT1G22130	5579	1914
3	AT1G73540	AT1G18300	5269	1576
3	AT1G73550	AT1G18280	5270	1574
3	AT1G73570	AT1G18260	5271	1571
3	AT1G73620	AT1G18250	5277	1570
3	AT1G73630	AT1G18210	5278	1568
3	AT1G73640	AT1G18200	5279	1567
3	AT1G73650	AT1G18180	5280	1565
3	AT1G73655	AT1G18170	5281	1564
3	AT1G73660	AT1G18160	5282	1563
3	AT1G73500	AT1G18350	5266	1582
3	AT1G73480	AT1G18360	5264	1583
3	AT1G73670	AT1G18040	5283	1555
3	AT1G73760	AT1G17970	5291	1550
4	AT1G58330	AT1G09950	4068	832
4	AT1G58350	AT1G09980	4070	835
4	AT1G58360	AT1G10010	4071	838
4	AT1G58370	AT1G10050	4072	842
4	AT1G58290	AT1G09940	4064	831
4	AT1G58280	AT1G09932	4063	830
4	AT1G58420	AT1G10140	4075	850
4	AT1G58520	AT1G10090	4081	844
4	AT1G59510	AT1G10150	4086	851
4	AT1G59650	AT1G10410	4099	875
4	AT1G59660	AT1G10390	4100	873
4	AT1G59670	AT1G10360	4101	871
4	AT1G59720	AT1G10330	4105	868
4	AT1G59610	AT1G10290	4096	864
4	AT1G59725	AT1G10350	4107	870
4	AT1G59590	AT1G10220	4094	858
4	AT1G59580	AT1G10210	4093	857
4	AT1G59640	AT1G10120	4098	848
4	AT1G59580	AT1G09840	4093	823
4	AT1G59830	AT1G10430	4115	878
4	AT1G59940	AT1G10470	4128	881
4	AT1G60010	AT1G10530	4134	888
4	AT1G60030	AT1G10540	4135	889
4	AT1G59890	AT1G10250	4124	861
5	AT1G72410	AT1G17360	5172	1490
5	AT1G72420	AT1G17350	5174	1489
5	AT1G72430	AT1G17345	5175	1488
5	AT1G72450	AT1G17380	5177	1492
5	AT1G72490	AT1G17400	5181	1494
5	AT1G72350	AT1G17310	5168	1485
5	AT1G72520	AT1G17420	5184	1496
5	AT1G72330	AT1G17290	5166	1484
5	AT1G72620	AT1G17430	5194	1497
5	AT1G72630	AT1G17455	5195	1500
5	AT1G72650	AT1G17460	5198	1501
5	AT1G72660	AT1G17470	5199	1502
5	AT1G72670	AT1G17480	5200	1503
5	AT1G72690	AT1G17490	5202	1504
5	AT1G72700	AT1G17500	5203	1505
5	AT1G72740	AT1G17520	5207	1507
5	AT1G72750	AT1G17530	5208	1508
5	AT1G72760	AT1G17540	5209	1509
5	AT1G72770	AT1G17550	5210	1511
5	AT1G73010	AT1G17710	5223	1524
5	AT1G73030	AT1G17730	5225	1526
5	AT1G73070	AT1G17750	5228	1528
5	AT1G73100	AT1G17770	5230	1530
5	AT1G72830	AT1G17590	5215	1514
5	AT1G72840	AT1G17600	5216	1515
5	AT1G73190	AT1G17810	5241	1534
5	AT1G73200	AT1G17820	5242	1535
5	AT1G73210	AT1G17830	5243	1536
5	AT1G73150	AT1G17790	5235	1532
5	AT1G73230	AT1G17880	5245	1541
5	AT1G73250	AT1G17890	5247	1542
5	AT1G73260	AT1G17860	5248	1539
5	AT1G73360	AT1G17920	5254	1545
5	AT1G73390	AT1G17940	5257	1547
5	AT1G73410	AT1G17950	5259	1548
5	AT1G72540	AT1G17540	5186	1509
5	AT1G73070	AT1G17230	5228	1479
5	AT1G72770	AT1G18030	5210	1554
5	AT1G73450	AT1G18040	5262	1555
6	AT1G69850	AT1G59740	4966	4109
6	AT1G69880	AT1G59730	4967	4108
6	AT1G69890	AT1G59710	4968	4104
6	AT1G69920	AT1G59670	4969	4101
6	AT1G69960	AT1G59830	4972	4115
6	AT1G70030	AT1G59890	4978	4124
6	AT1G70140	AT1G59910	4984	4126
6	AT1G70170	AT1G59970	4987	4130
6	AT1G70070	AT1G59760	4979	4111
6	AT1G70260	AT1G60050	4995	4137
6	AT1G70290	AT1G60140	4998	4143
6	AT1G70300	AT1G60160	4999	4144
6	AT1G70400	AT1G60170	5008	4145
6	AT1G70380	AT1G60370	5007	4155
6	AT1G70370	AT1G60390	5006	4156
7	AT1G26580	AT1G13880	2212	1184
7	AT1G26620	AT1G13940	2215	1189
7	AT1G26630	AT1G13950	2216	1190
7	AT1G26690	AT1G14010	2223	1196
7	AT1G26730	AT1G14040	2226	1199
7	AT1G26910	AT1G14320	2245	1219
7	AT1G26930	AT1G14330	2247	1220
7	AT1G26970	AT1G14370	2252	1225
7	AT1G26820	AT1G14210	2236	1211
7	AT1G26800	AT1G14200	2234	1209
7	AT1G26780	AT1G14350	2231	1223
7	AT1G26900	AT1G14470	2244	1235
7	AT1G26850	AT1G13860	2239	1182
8	AT1G68110	AT1G25240	4793	2133
8	AT1G68130	AT1G25250	4795	2134
8	AT1G68170	AT1G25270	4799	2136
8	AT1G67920	AT1G24600	4775	2119
8	AT1G67980	AT1G24735	4781	2125
8	AT1G68060	AT1G24764	4788	2126
