id	genome_x	list_x	parent	genome_y	list_y	level	number_of_anchorpoints	profile_length	begin_x	end_x	begin_y	end_y	is_redundant
1	ath	1		ath	1	2	190	725	5871	6564	1558	2158	0
2	ath	2		ath	3	2	150	662	3191	3783	4352	4941	0
3	ath	2		ath	1	2	120	512	2113	2648	346	725	0
4	ath	3		ath	1	2	113	549	1685	2238	3687	4145	0
5	ath	1		ath	1	2	104	509	4530	5096	825	1237	0
6	ath	4		ath	2	2	85	342	3420	3716	861	1146	0
7	ath	3		ath	1	2	77	291	1341	1619	4077	4324	0
8	ath	3		ath	5	2	75	380	929	1213	318	686	0
9	ath	2		ath	1	2	72	408	2663	2882	2645	3086	0
10	ath	4		ath	2	2	66	272	2805	3046	1150	1385	0
11	ath	3		ath	5	2	64	266	207	448	1524	1765	0
12	ath	4		ath	3	2	63	336	1180	1480	2134	2466	0
13	ath	2		ath	3	2	57	257	3777	4017	4938	5131	0
14	ath	2		ath	1	2	54	241	11	288	1284	1438	0
15	ath	4		ath	5	2	52	208	1655	1813	3893	4095	0
16	ath	3		ath	5	2	52	265	2694	2982	3175	3387	0
17	ath	3		ath	5	2	51	194	3901	4075	6021	6191	0
18	ath	4		ath	5	2	51	207	1808	2061	3731	3904	0
19	ath	1		ath	1	2	51	291	5478	5745	2353	2560	0
20	ath	1		ath	1	2	49	151	5745	5888	2201	2338	0
21	ath	5		ath	5	2	49	246	5765	5999	788	952	0
22	ath	4		ath	2	2	47	155	3907	4057	1403	1538	0
23	ath	4		ath	2	2	47	249	3143	3359	1724	1946	0
24	ath	4		ath	1	2	47	195	204	406	134	271	0
25	ath	5		ath	1	2	46	294	2877	3212	5289	5487	0
26	ath	1		ath	1	2	44	129	6569	6708	1537	1644	0
27	ath	3		ath	5	2	44	307	3346	3653	5267	5552	0
28	ath	2		ath	3	2	43	160	4007	4155	5119	5239	0
29	ath	4		ath	4	2	42	170	2221	2386	930	1107	0
30	ath	3		ath	5	2	40	301	400	582	2357	2587	-1
31	ath	2		ath	3	2	39	186	2950	3127	4208	4344	0
32	ath	3		ath	5	2	38	152	0	111	1258	1398	0
33	ath	5		ath	5	2	36	142	5491	5633	632	731	0
34	ath	4		ath	5	2	36	163	2559	2651	4970	5157	0
35	ath	5		ath	1	2	35	163	3624	3788	272	342	0
36	ath	4		ath	5	2	34	107	2648	2714	4821	4940	0
37	ath	3		ath	1	2	34	165	1180	1329	4404	4546	0
38	ath	3		ath	5	2	34	145	110	208	1378	1511	0
39	ath	4		ath	1	2	32	218	729	920	3093	3334	0
40	ath	3		ath	5	2	31	264	3537	3794	5544	5758	0
41	ath	3		ath	5	2	30	208	3205	3424	1906	2098	0
42	ath	4		ath	1	2	30	297	531	778	3297	3512	0
43	ath	3		ath	5	2	30	240	588	786	4077	4313	0
44	ath	1		ath	1	2	28	96	6739	6828	1459	1533	0
45	ath	4		ath	2	2	27	125	3716	3833	1551	1668	0
46	ath	5		ath	5	2	27	153	2297	2422	946	1080	0
47	ath	4		ath	5	2	27	243	2917	3137	5038	5231	0
48	ath	4		ath	4	2	26	155	2068	2196	417	570	0
49	ath	4		ath	5	2	26	164	3613	3797	6023	6176	-1
50	ath	3		ath	1	2	26	226	2461	2693	1206	1366	0
51	ath	4		ath	1	2	25	135	45	170	9	78	0
52	ath	3		ath	5	2	25	203	3101	3310	2694	2856	0
53	ath	1		ath	1	2	25	196	4801	5060	4011	4177	-1
54	ath	4		ath	3	2	25	281	3537	3815	3897	4128	0
55	ath	4		ath	5	2	25	323	383	699	2574	2710	0
56	ath	4		ath	2	2	24	96	3055	3156	1675	1739	0
57	ath	4		ath	1	2	24	278	1743	2008	2872	3134	0
58	ath	5		ath	1	2	23	93	3389	3457	5055	5159	0
59	ath	2		ath	1	2	23	124	3917	4034	0	82	0
60	ath	4		ath	2	2	23	141	15	166	3863	4016	-1
61	ath	3		ath	5	2	22	72	532	577	1710	1793	0
62	ath	4		ath	1	2	22	192	956	1108	4971	5171	0
63	ath	2		ath	3	2	22	164	925	1106	4017	4117	-1
64	ath	4		ath	5	2	22	160	2487	2555	4466	4633	0
65	ath	3		ath	1	2	22	201	2793	3046	5626	5791	-1
66	ath	4		ath	3	2	21	95	1152	1253	2384	2538	-1
67	ath	3		ath	5	2	20	110	853	907	160	277	0
68	ath	4		ath	1	2	19	162	3549	3725	1847	2035	-1
69	ath	4		ath	5	2	18	174	2677	2804	4627	4791	0
70	ath	4		ath	5	2	18	171	3135	3325	935	1078	-1
71	ath	5		ath	1	2	18	226	5787	5987	6446	6589	0
72	ath	1		ath	1	2	17	73	5879	5958	2169	2208	0
73	ath	3		ath	5	2	17	159	3743	3928	3212	3356	-1
74	ath	2		ath	2	2	17	195	3020	3179	2104	2328	0
75	ath	5		ath	1	2	17	141	1316	1465	5573	5790	-1
76	ath	5		ath	5	2	16	52	2112	2163	737	771	0
77	ath	4		ath	4	2	16	86	3861	3959	3487	3567	-1
78	ath	2		ath	5	2	16	140	3023	3174	443	568	-1
79	ath	4		ath	3	2	15	74	1486	1553	1620	1679	0
80	ath	4		ath	5	2	15	67	581	656	2693	2791	-1
81	ath	1		ath	1	2	15	109	5606	5719	1245	1363	-1
82	ath	4		ath	1	2	15	115	2288	2390	5081	5195	0
83	ath	4		ath	2	2	15	172	3477	3675	950	1132	-1
84	ath	2		ath	1	2	15	214	2377	2571	6580	6753	0
85	ath	5		ath	1	2	15	212	2861	3099	5203	5379	0
86	ath	2		ath	3	2	14	66	2905	2957	4166	4222	0
87	ath	4		ath	1	2	14	97	3851	3962	6264	6373	-1
88	ath	2		ath	5	2	14	115	3091	3179	5240	5352	0
89	ath	5		ath	5	2	14	95	3201	3316	1323	1396	-1
90	ath	2		ath	5	2	14	160	2173	2343	5233	5375	0
91	ath	1		ath	1	2	13	87	2440	2538	1254	1363	-1
92	ath	2		ath	5	2	13	93	1159	1262	5052	5152	-1
93	ath	2		ath	1	2	13	98	169	288	5626	5719	-1
94	ath	2		ath	5	2	13	56	1598	1667	6079	6171	-1
95	ath	2		ath	1	2	13	94	161	268	2464	2539	-1
96	ath	4		ath	3	2	13	120	2229	2382	4999	5119	-1
97	ath	2		ath	5	2	13	155	376	521	2809	2969	0
98	ath	1		ath	1	2	13	88	5268	5376	4885	5068	-1
99	ath	5		ath	5	2	12	25	5908	5935	886	910	-1
100	ath	1		ath	1	2	12	28	6084	6114	1726	1763	-1
101	ath	4		ath	1	2	12	89	2825	2907	271	353	0
102	ath	5		ath	1	2	12	99	1342	1448	2450	2560	-1
103	ath	2		ath	5	2	12	86	576	677	2711	2794	-1
104	ath	4		ath	5	2	12	109	1593	1720	3958	4078	-1
105	ath	4		ath	1	2	12	123	3639	3774	6183	6313	-1
106	ath	3		ath	3	2	12	104	4505	4612	980	1064	-1
107	ath	4		ath	2	2	12	113	3378	3453	736	852	0
108	ath	4		ath	1	2	12	123	3851	3999	1854	2006	-1
109	ath	4		ath	3	2	12	107	76	189	5058	5125	-1
110	ath	4		ath	3	2	12	141	972	1149	4958	5097	-1
111	ath	2		ath	1	2	12	153	94	290	5854	5952	-1
112	ath	5		ath	1	2	12	241	3788	4065	772	1013	0
113	ath	5		ath	1	2	11	44	3562	3597	3579	3618	0
114	ath	5		ath	1	2	11	61	4994	5071	4413	4478	-1
115	ath	3		ath	5	2	11	86	4431	4500	104	189	0
116	ath	3		ath	1	2	11	99	4837	4960	457	567	-1
117	ath	4		ath	2	2	11	79	3679	3760	1599	1659	-1
118	ath	3		ath	5	2	11	114	4493	4610	395	511	-1
119	ath	4		ath	1	2	11	169	3114	3261	2262	2423	0
120	ath	2		ath	5	2	11	101	992	1097	5999	6060	0
121	ath	3		ath	3	2	11	144	3800	3958	1293	1435	0
122	ath	4		ath	1	2	11	150	1745	1850	2634	2788	0
123	ath	3		ath	5	2	10	28	3861	3885	2250	2279	0
124	ath	4		ath	5	2	10	38	2284	2347	3402	3443	-1
125	ath	1		ath	1	2	10	34	5728	5770	4697	4748	-1
126	ath	2		ath	1	2	10	53	25	79	5785	5851	-1
127	ath	3		ath	1	2	10	44	2559	2606	1245	1270	-1
128	ath	3		ath	5	2	10	58	790	831	4	63	0
129	ath	5		ath	1	2	10	55	5350	5415	654	694	-1
130	ath	3		ath	5	2	10	82	376	446	2564	2654	0
131	ath	2		ath	5	2	10	79	3364	3451	395	456	-1
132	ath	3		ath	5	2	10	92	4988	5089	3195	3296	-1
133	ath	3		ath	1	2	10	112	5026	5131	13	93	0
134	ath	2		ath	1	2	10	88	30	136	5317	5378	-1
135	ath	1		ath	1	2	10	96	6724	6824	4104	4231	-1
136	ath	3		ath	1	2	10	123	3016	3164	3340	3480	-1
137	ath	3		ath	1	2	10	115	5008	5132	1155	1250	-1
138	ath	4		ath	1	2	10	104	715	832	2138	2198	0
139	ath	3		ath	1	2	10	130	3841	3999	4766	4963	-1
140	ath	3		ath	5	2	9	13	3896	3910	5995	6010	-1
141	ath	2		ath	3	2	9	18	3441	3460	4605	4626	-1
142	ath	3		ath	5	2	9	42	1281	1325	5024	5087	-1
