id	multiplicon	basecluster	gene_x	gene_y	coord_x	coord_y	is_real_anchorpoint
1	1	1	AT1G71280	AT1G16280	5083	1394	-1
2	1	1	AT1G71420	AT1G16480	5094	1412	-1
3	1	1	AT1G71830	AT1G16760	5121	1437	-1
4	1	1	AT1G72180	AT1G17230	5154	1479	-1
5	1	1	AT1G72330	AT1G17290	5166	1484	-1
6	1	1	AT1G72350	AT1G17310	5168	1485	-1
7	1	1	AT1G72450	AT1G17380	5177	1492	-1
8	1	1	AT1G72490	AT1G17400	5181	1494	-1
9	1	1	AT1G72520	AT1G17420	5184	1496	-1
10	1	1	AT1G72620	AT1G17430	5194	1497	-1
11	1	1	AT1G72630	AT1G17455	5195	1500	-1
12	1	1	AT1G72650	AT1G17460	5198	1501	-1
13	1	1	AT1G72660	AT1G17470	5199	1502	-1
14	1	1	AT1G72670	AT1G17480	5200	1503	-1
15	1	1	AT1G72690	AT1G17490	5202	1504	-1
16	1	1	AT1G72700	AT1G17500	5203	1505	-1
17	1	1	AT1G72740	AT1G17520	5207	1507	-1
18	1	1	AT1G72750	AT1G17530	5208	1508	-1
19	1	1	AT1G72760	AT1G17540	5209	1509	-1
20	1	1	AT1G72770	AT1G17550	5210	1511	-1
21	1	1	AT1G72830	AT1G17590	5215	1514	-1
22	1	1	AT1G72840	AT1G17600	5216	1515	-1
23	1	1	AT1G73010	AT1G17710	5223	1524	-1
24	1	1	AT1G73030	AT1G17730	5225	1526	-1
25	1	1	AT1G73070	AT1G17750	5228	1528	-1
26	1	1	AT1G73100	AT1G17770	5230	1530	-1
27	1	1	AT1G73150	AT1G17790	5235	1532	-1
28	1	1	AT1G73190	AT1G17810	5241	1534	-1
29	1	1	AT1G73200	AT1G17820	5242	1535	-1
30	1	1	AT1G73210	AT1G17830	5243	1536	-1
31	1	1	AT1G73230	AT1G17880	5245	1541	-1
32	1	1	AT1G73250	AT1G17890	5247	1542	-1
33	1	1	AT1G73260	AT1G17860	5248	1539	-1
34	1	1	AT1G73360	AT1G17920	5254	1545	-1
35	1	1	AT1G73390	AT1G17940	5257	1547	-1
36	1	1	AT1G73410	AT1G17950	5259	1548	-1
37	1	1	AT1G73450	AT1G18040	5262	1555	-1
38	1	1	AT1G73670	AT1G18040	5283	1555	-1
39	1	1	AT1G73830	AT1G18400	5298	1587	-1
40	1	1	AT1G73860	AT1G18370	5301	1584	-1
41	1	1	AT1G73910	AT1G18450	5307	1590	-1
42	1	1	AT1G73920	AT1G18460	5308	1591	-1
43	1	1	AT1G73950	AT1G18470	5311	1592	-1
44	1	1	AT1G74040	AT1G18500	5319	1596	-1
45	1	1	AT1G74045	AT1G18510	5320	1597	-1
46	1	1	AT1G74050	AT1G18540	5321	1600	-1
47	1	1	AT1G74080	AT1G18570	5324	1602	-1
48	1	1	AT1G74090	AT1G18590	5325	1604	-1
49	1	1	AT1G74130	AT1G18600	5328	1605	-1
50	1	1	AT1G74150	AT1G18610	5329	1606	-1
51	1	1	AT1G74160	AT1G18620	5330	1607	-1
52	1	1	AT1G74230	AT1G18630	5334	1608	-1
53	1	1	AT1G74330	AT1G18670	5342	1612	-1
54	1	1	AT1G74380	AT1G18690	5347	1614	-1
55	1	1	AT1G74430	AT1G18960	5352	1635	-1
56	1	1	AT1G74440	AT1G18720	5353	1616	-1
57	1	1	AT1G74450	AT1G18740	5354	1618	-1
58	1	1	AT1G74480	AT1G18790	5357	1621	-1
59	1	1	AT1G74560	AT1G18800	5364	1622	-1
60	1	1	AT1G74580	AT1G18900	5365	1631	-1
61	1	1	AT1G74580	AT1G19290	5365	1667	-1
62	1	1	AT1G74690	AT1G18840	5372	1625	-1
63	1	1	AT1G74710	AT1G18870	5374	1628	-1
64	1	1	AT1G74740	AT1G18890	5377	1630	-1
65	1	1	AT1G74760	AT1G18910	5378	1632	-1
66	1	1	AT1G74780	AT1G18940	5379	1633	-1
67	1	1	AT1G74820	AT1G18970	5383	1636	-1
68	1	1	AT1G74830	AT1G18990	5384	1637	-1
69	1	1	AT1G74840	AT1G19000	5385	1638	-1
70	1	1	AT1G74990	AT1G19310	5397	1669	-1
71	1	1	AT1G75030	AT1G19320	5401	1670	-1
72	1	1	AT1G75060	AT1G19330	5402	1671	-1
73	1	1	AT1G75080	AT1G19350	5403	1673	-1
74	1	1	AT1G75110	AT1G19360	5406	1674	-1
75	1	1	AT1G75140	AT1G19370	5408	1675	-1
76	1	1	AT1G75180	AT1G19400	5412	1680	-1
77	1	1	AT1G75220	AT1G19450	5416	1684	-1
78	1	1	AT1G75230	AT1G19480	5417	1686	-1
79	1	1	AT1G75250	AT1G19510	5419	1690	-1
80	1	1	AT1G75270	AT1G19550	5421	1695	-1
81	1	1	AT1G75280	AT1G19540	5422	1694	-1
82	1	1	AT1G75370	AT1G19650	5427	1702	-1
83	1	1	AT1G75380	AT1G19660	5428	1703	-1
84	1	1	AT1G75400	AT1G19680	5430	1705	-1
85	1	1	AT1G75410	AT1G19700	5431	1707	-1
86	1	1	AT1G75420	AT1G19710	5432	1708	-1
87	1	1	AT1G75460	AT1G19740	5435	1712	-1
88	1	1	AT1G75470	AT1G19770	5436	1714	-1
89	1	1	AT1G75520	AT1G19790	5440	1716	-1
90	1	1	AT1G75580	AT1G19830	5445	1718	-1
91	1	1	AT1G75590	AT1G19840	5446	1720	-1
92	1	1	AT1G75600	AT1G19890	5447	1725	-1
93	1	1	AT1G75620	AT1G19900	5448	1726	-1
94	1	1	AT1G75630	AT1G19910	5449	1727	-1
95	1	1	AT1G75680	AT1G19940	5453	1730	-1
96	1	1	AT1G75700	AT1G19950	5455	1731	-1
97	1	1	AT1G75760	AT1G19970	5460	1733	-1
98	1	1	AT1G75780	AT1G20010	5462	1737	-1
99	1	1	AT1G75800	AT1G20030	5464	1739	-1
100	1	1	AT1G75840	AT1G20090	5467	1744	-1
101	1	1	AT1G75860	AT1G20100	5469	1745	-1
102	1	1	AT1G75880	AT1G20120	5471	1747	-1
103	1	1	AT1G75950	AT1G20140	5473	1748	-1
104	1	1	AT1G75990	AT1G20200	5476	1752	-1
105	1	1	AT1G76010	AT1G20220	5477	1753	-1
106	1	1	AT1G76020	AT1G20225	5478	1754	-1
107	1	1	AT1G76030	AT1G20260	5479	1757	-1
108	1	1	AT1G76070	AT1G20310	5483	1761	-1
109	1	1	AT1G76090	AT1G20330	5485	1763	-1
110	1	1	AT1G76100	AT1G20340	5486	1764	-1
111	1	1	AT1G76120	AT1G20370	5488	1766	-1
112	1	1	AT1G76140	AT1G20380	5490	1767	-1
113	1	1	AT1G76180	AT1G20440	5494	1771	-1
114	1	1	AT1G76185	AT1G20460	5495	1772	-1
115	1	1	AT1G76190	AT1G20470	5496	1773	-1
116	1	1	AT1G76210	AT1G20520	5498	1775	-1
117	1	1	AT1G76260	AT1G20540	5502	1777	-1
118	1	1	AT1G76270	AT1G20550	5503	1778	-1
119	1	1	AT1G76290	AT1G20480	5505	1774	-1
120	1	1	AT1G76300	AT1G20580	5506	1781	-1
121	1	1	AT1G76310	AT1G20590	5507	1782	-1
122	1	1	AT1G76350	AT1G20640	5510	1785	-1
123	1	1	AT1G76360	AT1G20650	5511	1786	-1
124	1	1	AT1G76380	AT1G20670	5512	1787	-1
125	1	1	AT1G76390	AT1G20780	5513	1796	-1
126	1	1	AT1G76405	AT1G20816	5515	1798	-1
127	1	1	AT1G76410	AT1G20823	5516	1799	-1
128	1	1	AT1G76430	AT1G20860	5518	1803	-1
129	1	1	AT1G76440	AT1G20870	5519	1804	-1
130	1	1	AT1G76460	AT1G20880	5521	1805	-1
131	1	1	AT1G76480	AT1G20890	5523	1806	-1
132	1	1	AT1G76500	AT1G20900	5525	1807	-1
133	1	1	AT1G76510	AT1G20910	5526	1808	-1
134	1	1	AT1G76520	AT1G20925	5527	1810	-1
135	1	1	AT1G76540	AT1G20930	5528	1811	-1
136	1	1	AT1G76550	AT1G20950	5529	1812	-1
137	1	1	AT1G76580	AT1G20980	5532	1815	-1
138	1	1	AT1G76590	AT1G21000	5533	1817	-1
139	1	1	AT1G76600	AT1G21010	5534	1818	-1
140	1	1	AT1G76610	AT1G21050	5535	1820	-1
141	1	1	AT1G76620	AT1G21060	5536	1821	-1
142	1	1	AT1G76670	AT1G21070	5540	1823	-1
143	1	1	AT1G76700	AT1G21080	5542	1824	-1
144	1	1	AT1G76720	AT1G21160	5545	1829	-1
145	1	1	AT1G76790	AT1G21100	5552	1826	-1
146	1	1	AT1G76800	AT1G21140	5553	1827	-1
147	1	1	AT1G76850	AT1G21170	5556	1830	-1
148	1	1	AT1G76860	AT1G21190	5557	1831	-1
149	1	1	AT1G76870	AT1G21200	5558	1832	-1
150	1	1	AT1G76930	AT1G21310	5563	1835	-1
151	1	1	AT1G76940	AT1G21312	5564	1836	-1
152	1	1	AT1G76970	AT1G21380	5570	1844	-1
153	1	1	AT1G76980	AT1G21390	5571	1845	-1
154	1	1	AT1G77000	AT1G21410	5573	1848	-1
155	1	1	AT1G77020	AT1G21080	5575	1824	-1
156	1	1	AT1G77060	AT1G21440	5578	1850	-1
157	1	1	AT1G77240	AT1G21530	5595	1858	-1
158	1	1	AT1G77280	AT1G21590	5599	1863	-1
159	1	1	AT1G77310	AT1G21610	5602	1865	-1
160	1	1	AT1G77440	AT1G21720	5613	1876	-1
161	1	1	AT1G77500	AT1G21740	5619	1878	-1
162	1	1	AT1G77510	AT1G21750	5620	1879	-1
163	1	1	AT1G77540	AT1G21770	5622	1881	-1
164	1	1	AT1G77580	AT1G21810	5625	1884	-1
165	1	1	AT1G77610	AT1G21870	5628	1888	-1
166	1	1	AT1G77630	AT1G21880	5630	1889	-1
167	1	1	AT1G77640	AT1G21910	5631	1892	-1
168	1	1	AT1G77660	AT1G21920	5634	1893	-1
169	1	1	AT1G77810	AT1G22015	5648	1902	-1
170	1	1	AT1G77855	AT1G22030	5653	1904	-1
171	1	1	AT1G77870	AT1G22050	5655	1906	-1
172	1	1	AT1G77920	AT1G22070	5660	1908	-1
173	1	1	AT1G77950	AT1G22130	5663	1914	-1
174	1	1	AT1G77990	AT1G22150	5665	1916	-1
175	1	1	AT1G78020	AT1G22160	5667	1917	-1
176	1	1	AT1G78050	AT1G22170	5670	1918	-1
177	1	1	AT1G78080	AT1G22190	5673	1920	-1
178	1	1	AT1G78090	AT1G22210	5674	1922	-1
179	1	1	AT1G78100	AT1G22220	5675	1923	-1
180	1	1	AT1G78110	AT1G22230	5676	1924	-1
181	1	1	AT1G78160	AT1G22240	5681	1925	-1
182	1	1	AT1G78170	AT1G22250	5682	1926	-1
183	1	1	AT1G78190	AT1G22270	5684	1928	-1
184	1	1	AT1G78200	AT1G22280	5685	1929	-1
185	1	1	AT1G78220	AT1G22290	5687	1930	-1
186	1	1	AT1G78260	AT1G22330	5690	1932	-1
187	1	1	AT1G78270	AT1G22340	5691	1934	-1
188	1	2	AT1G72410	AT1G17360	5172	1490	-1
189	1	2	AT1G72420	AT1G17350	5174	1489	-1
190	1	2	AT1G72430	AT1G17345	5175	1488	-1
191	2	3	AT2G42370	AT3G58110	3189	4108	-1
192	2	3	AT2G42380	AT3G58120	3190	4109	-1
193	2	3	AT2G42430	AT3G58190	3195	4116	-1
194	2	3	AT2G42460	AT3G58200	3198	4117	-1
